datetime,portfolio_value,cash,positions,return
2022-01-28 08:30:00-05:00,100000.0,100000.0,[],
2022-01-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-30 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-31 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-25 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-03-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-03-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-03-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-03-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-03-05 09:30:00-05:00,80139.5,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",-0.19860500000000003
2022-03-06 09:30:00-05:00,80139.5,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",0.0
2022-03-07 09:30:00-05:00,80148.70056152344,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",0.00011480682464259928
2022-03-08 09:30:00-05:00,80697.48022460938,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",0.006847018844237995
2022-03-09 09:30:00-05:00,80443.55932617188,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",-0.0031465777832312414
2022-03-10 09:30:00-05:00,80564.0805053711,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",0.0014982079386933744
2022-03-11 09:30:00-05:00,80306.48022460938,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",-0.0031974582114735473
2022-03-12 09:30:00-05:00,80306.48022460938,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",0.0
2022-03-13 10:30:00-04:00,80306.48022460938,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",0.0
2022-03-14 10:30:00-04:00,80639.05932617188,100000.0,"[{'asset': SPY, 'quantity': -46.0}]",0.004141373157338091
