datetime,portfolio_value,cash,positions,return
2022-09-07 10:30:00-04:00,-389101.6256408692,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.0008959449428340704
2022-09-08 10:30:00-04:00,-388461.78280639654,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",-0.0016444105917542418
2022-09-09 10:30:00-04:00,-387513.6359558106,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",-0.002440772535553304
2022-09-10 10:30:00-04:00,-387513.6359558106,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.0
2022-09-11 10:30:00-04:00,-387513.6359558106,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.0
2022-09-12 10:30:00-04:00,-386734.4748535157,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",-0.0020106675739889335
2022-09-13 10:30:00-04:00,-387631.0264282227,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.002318261321405668
2022-09-14 10:30:00-04:00,-388580.4645385743,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.0024493346652356696
2022-09-15 10:30:00-04:00,-388775.2557983399,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.0005012893790143913
2022-09-16 10:30:00-04:00,-389913.03280639654,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.002926567447612438
2022-09-17 10:30:00-04:00,-389913.03280639654,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.0
2022-09-18 10:30:00-04:00,-389913.03280639654,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.0
2022-09-19 10:30:00-04:00,-390155.55343627936,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.0006219864674368303
2022-09-20 10:30:00-04:00,-389794.3550109864,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",-0.0009257805562723487
2022-09-21 10:30:00-04:00,-389658.9065856934,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",-0.00034748688263874783
2022-09-22 10:30:00-04:00,-390888.2764282227,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.003154989714726053
2022-09-23 10:30:00-04:00,-391662.2764282227,-439467.094696045,"[{'asset': SPY, 'quantity': 129.0}]",0.0019801054333798973
2022-09-24 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.12205622329467092
2022-09-25 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-09-26 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-09-27 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-09-28 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-09-29 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-09-30 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-01 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-02 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-03 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-04 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-05 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-06 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
